name;number;city;state;obedience
Roosevelt;1;Anápolis;GO;GLEG
Dr Domingos Mendes da Silva;2;Ceres;GO;GLEG
Bandeirantes do Uru;3;Uruana;GO;GLEG
Paranaíba;4;Itumbiara;GO;GLEG
União Fraternal;5;Jandaia;GO;GLEG
Verdadeira Luz;6;Rio Verde;GO;GLEG
Quatro de Julho;7;Uruaçu;GO;GLEG
Educação e Moral;8;Goiânia;GO;GLEG
Gênesis;10;Pires Do Rio;GO;GLEG
Adonhiram Primeira;11;Goiânia;GO;GLEG
Campo Formoso;12;Orizona;GO;GLEG
28 de Julho;13;Jataí;GO;GLEG
Anhanguera;14;Palmelo;GO;GLEG
Imperatriz;15;Formosa;GO;GLEG
Brasil Central;16;Leopoldo De Bulhões;GO;GLEG
Paz Universal;17;Goiânia;GO;GLEG
Brasiliana;22;Minaçu;GO;GLEG
Justiça e União;25;Alexânia;GO;GLEG
Esperança de Goiás;26;Goiânia;GO;GLEG
Mahatma João Racy;28;Goiânia;GO;GLEG
Flor de Lis;29;Goiânia;GO;GLEG
União Feliz;31;Goiânia;GO;GLEG
Bandeirantes do Araguaia;32;São Miguel Do Araguaia;GO;GLEG
Cruzeiro do Sul;33;Itapuranga;GO;GLEG
Ita Universal;34;Itaguaru;GO;GLEG
Estrela Universal;35;Quirinópolis;GO;GLEG
União de Paranaiguara;36;Paranaiguara;GO;GLEG
Moral e Cultura;37;Porangatu;GO;GLEG
Acácia Pontalinense;38;Pontalina;GO;GLEG
Independência;40;Anápolis;GO;GLEG
Cavalheiros da Harmonia;41;Goiânia;GO;GLEG
Fraternidade Formosense;43;Formoso;GO;GLEG
Sesquicentenário da Independência;44;Caçu;GO;GLEG
Dom Pedro I;45;Mineiros;GO;GLEG
Marechal Deodoro;46;Goiânia;GO;GLEG
Comendador Daniel Correa Trindade;47;Goiânia;GO;GLEG
Pérola do Sul;48;Bela Vista De Goiás;GO;GLEG
Estrela de Goiás;49;Goiânia;GO;GLEG
Joaquim Mesquita;51;Goiânia;GO;GLEG
Duque de Caxias;52;Posse;GO;GLEG
Mahatma Ghandi;53;Itajá;GO;GLEG
Vale do Rio Vermelho;55;Itapirapuã;GO;GLEG
Lafayette Teixeira França;56;São Simão;GO;GLEG
Reintegração e Concórdia;57;Goiânia;GO;GLEG
Trindade;58;Trindade;GO;GLEG
Vasco Coutinho;60;Jataí;GO;GLEG
George Washington;62;Campos Belos;GO;GLEG
Gonçalves Lêdo;63;Edéia;GO;GLEG
Tubalcaim;64;Goiânia;GO;GLEG
Vicente Corrêa Marzagão;65;Anicuns;GO;GLEG
Sermão da Montanha;66;Barro Alto;GO;GLEG
Agnor Lourenço Dias;67;Mara Rosa;GO;GLEG
Geraldo Ribeiro da Costa;70;Petrolina De Goiás;GO;GLEG
Bartolomeu Bueno da Silva;71;Goiânia;GO;GLEG
Couto de Magalhães;72;Aruanã;GO;GLEG
União e Justiça;74;Goiás;GO;GLEG
Guatimozim;76;Joviânia;GO;GLEG
Quintino Bocaiúva;77;Mozarlândia;GO;GLEG
São João da Escócia;78;Abadiânia;GO;GLEG
