"uuid","name","number","city","state","obedience","createdAt","updatedAt"
"00e7162f-a4d2-4c92-a9fa-d395d24adc6d",Vale do Pirapitinga,"3094",Cumari,GO,GOB,"2025-08-20 14:42:43","2025-08-20 14:42:43"
"011cd92b-5006-45b5-8273-dab161a5ef79",Elias Gabriel,"2128",Goiânia,GO,GOB,"2025-08-20 14:42:42","2025-08-20 14:42:42"
"02e216a9-e150-4e1f-be24-84a385e4c2ea",Constelação,"141",Goiânia,GO,GLEG,"2025-08-20 14:42:48","2025-08-20 14:42:48"
"06fd833a-45a4-4de4-be14-fe27a2600177",Estrela de Luziânia,"1644",Luziania,GO,GOB,"2025-08-20 14:42:40","2025-08-20 14:42:40"
"07175282-8fdb-4c4e-8361-931934ba394b",Flor da Acácia Goiana,"1816",Goiânia,GO,GOB,"2025-08-20 14:42:40","2025-08-20 14:42:40"
"08be7ce9-006f-46f7-a899-86bf2c15e5ca",George Washington,"62",Campos Belos,GO,GLEG,"2025-08-20 14:42:46","2025-08-20 14:42:46"
"0b69691d-3a2a-4dc3-bbe0-8cb376c820a4",Lealdade e Fraternidade,"162",Goiânia,GO,GLEG,"2025-08-20 14:42:49","2025-08-20 14:42:49"
"0bce4517-b868-4107-8b36-8d0ed3d92110",Barnabé Soares da Silva,"2055",Rianápolis,GO,GOB,"2025-08-20 14:42:41","2025-08-20 14:42:41"
"0c3bf63f-5daf-4acb-9cd3-327c90397b01",Luz e Liberdade,"1191",Morrinhos,GO,GOB,"2025-08-20 14:42:39","2025-08-20 14:42:39"
"0ce0197b-9aa3-4026-ac3b-3888b1017b5d",Bandeirantes do Araguaia,"32",São Miguel Do Araguaia,GO,GLEG,"2025-08-20 14:42:45","2025-08-20 14:42:45"
"0d557da2-ffe5-4338-80a8-9c489e1b6475",A Sombra da Acácia,"1948",Goiânia,GO,GOB,"2025-08-20 14:42:41","2025-08-20 14:42:41"
"0e120d89-ebb5-41ca-840e-37d6a8dcd9bf",Joaquim Mesquita,"51",Goiânia,GO,GLEG,"2025-08-20 14:42:45","2025-08-20 14:42:45"
"0f3f73f9-721c-4584-9ddc-e386188193fa",Gonçalves Lêdo,"63",Edéia,GO,GLEG,"2025-08-20 14:42:46","2025-08-20 14:42:46"
"0f502a96-44e0-45c4-bf6d-31c1e3927ab5",União Parque Das Laranjeiras,"163",Goiânia,GO,GLEG,"2025-08-20 14:42:49","2025-08-20 14:42:49"
"0f708024-09f1-42ef-a100-bac1fa4c996f",Cavaleiros do Templo,"2664",Rio Verde,GO,GOB,"2025-08-20 14:42:42","2025-08-20 14:42:42"
"10b36d19-cf67-49ea-a320-f6c660ea1180",Paranaíba,"4",Itumbiara,GO,GLEG,"2025-08-20 14:42:44","2025-08-20 14:42:44"
"10e1b6f4-117a-49ab-ab71-9937c5ad61f8",Mahatma João Racy,"28",Goiânia,GO,GLEG,"2025-08-20 14:42:45","2025-08-20 14:42:45"
"121bed0c-282c-4927-8f42-a81d3d691e5c",Francis Bacon,"2610",Goiânia,GO,GOB,"2025-08-20 14:42:42","2025-08-20 14:42:42"
"131a35c0-c80b-4e17-af22-df04abad0efa",Delta do Araguaia,"111",Nova Crixás,GO,GLEG,"2025-08-20 14:42:47","2025-08-20 14:42:47"
"138d6fdf-6884-4ede-82db-065df3d0c5a8",João Racy,"1385",Guapó,GO,GOB,"2025-08-20 14:42:39","2025-08-20 14:42:39"
"14454223-8b3b-4aa8-b645-6cdab73618a1",São João da Escócia,"78",Abadiânia,GO,GLEG,"2025-08-20 14:42:46","2025-08-20 14:42:46"
"148df6bc-4a02-4b58-a220-6d3e9a814c75",Campo Formoso,"12",Orizona,GO,GLEG,"2025-08-20 14:42:44","2025-08-20 14:42:44"
"16c3b72d-1c95-4785-b7f2-9bfec3d375cd",Estrela Ocidental,"144",Cidade Ocidental,GO,GLEG,"2025-08-20 14:42:48","2025-08-20 14:42:48"
"17abfddb-8fe3-4698-9560-ffb3665bf11a",Flor de Lis,"29",Goiânia,GO,GLEG,"2025-08-20 14:42:45","2025-08-20 14:42:45"
"17ba1cb1-2be7-42e2-9ee3-f66adc1852ab",União de Ipora,"1372",Ipora,GO,GOB,"2025-08-20 14:42:39","2025-08-20 14:42:39"
"17d41a43-06a7-4e17-a5a3-925d7754c3a4",Azilo da Razão,"167",Goias,GO,GOB,"2025-08-20 14:42:38","2025-08-20 14:42:38"
"1884bb4c-6b01-4938-bd32-df77cef72e1a",Esperança Universal,"105",Goiatuba,GO,GLEG,"2025-08-20 14:42:47","2025-08-20 14:42:47"
"1ab5c3ef-2204-49ca-b927-deab40f2751f",Morro de São João,"158",Catalão,GO,GLEG,"2025-08-20 14:42:49","2025-08-20 14:42:49"
"1c40712d-3ad8-4dbd-ac41-aee05a9027ef",Luz e Virtude,"1325",Piracanjuba,GO,GOB,"2025-08-20 14:42:39","2025-08-20 14:42:39"
"1ccf0f04-102f-459c-a8ea-cc4e52cf237f",Otávio Balestra,"2084",Inhumas,GO,GOB,"2025-08-20 14:42:41","2025-08-20 14:42:41"
"1f8b3e0b-e1c5-4efe-8076-e587f72c70e6",Luz Corumbaibense,"1166",Corumbaiba,GO,GOB,"2025-08-20 14:42:39","2025-08-20 14:42:39"
"20c5b6c5-f0ae-4538-ba98-1c754b72b26e",União Itaberina,"106",Itaberaí,GO,GLEG,"2025-08-20 14:42:47","2025-08-20 14:42:47"
"20c90a91-a406-4fbf-ba40-3b2043e5d2f6",Estrela Sertaneja,"1232",Rialma,GO,GOB,"2025-08-20 14:42:39","2025-08-20 14:42:39"
"21925661-a560-4c7b-be35-18c31119bae0",Liberdade e Justiça de Itapaci,"1617",Itapaci,GO,GOB,"2025-08-20 14:42:40","2025-08-20 14:42:40"
"2200ce41-8273-46e5-b9d1-aef9ed690140",Crepúsculo da Paz,"2068",Porangatu,GO,GOB,"2025-08-20 14:42:41","2025-08-20 14:42:41"
"22bd0b67-35fa-48f8-8740-620acf108218",Francisco Avelino de Araújo,"128",Vicentinópolis,GO,GLEG,"2025-08-20 14:42:48","2025-08-20 14:42:48"
"236af8da-1cc6-443f-951b-bac428196307",Luz e Verdade,"126",Indiara,GO,GLEG,"2025-08-20 14:42:48","2025-08-20 14:42:48"
"23e3952d-7978-43de-9b97-80ed376ce5d3",Estrela Universal,"35",Quirinópolis,GO,GLEG,"2025-08-20 14:42:45","2025-08-20 14:42:45"
"23e6135e-2c24-4c07-8cf8-af8b891346c8",União e Progresso,"1935",Goiânia,GO,GOB,"2025-08-20 14:42:41","2025-08-20 14:42:41"
"264a8a34-c82b-418c-b45e-f112993234fd","28 de Julho","13",Jataí,GO,GLEG,"2025-08-20 14:42:44","2025-08-20 14:42:44"
"27463da5-ed37-4aed-92fa-398ca948cd88",Sermão da Montanha,"66",Barro Alto,GO,GLEG,"2025-08-20 14:42:46","2025-08-20 14:42:46"
"284ae7b3-723e-442b-b45e-7ed6975d4679",Verdadeira Luz,"6",Rio Verde,GO,GLEG,"2025-08-20 14:42:44","2025-08-20 14:42:44"
"289f029f-8847-4134-ba44-7a333d405c4e",Educação e Moral,"8",Goiânia,GO,GLEG,"2025-08-20 14:42:44","2025-08-20 14:42:44"
